userID,age,gender,total_play_time,avg_session_time,games_played,in_game_purchases,last_login,friend_count,churn,max_level_achieved,daily_play_time,subscription_status,number_of_sessions,social_interactions,achievement_points,game_genre_Adventure,game_genre_RPG,game_genre_Simulation,game_genre_Strategy,country_Brazil,country_Canada,country_France,country_Germany,country_India,country_Japan,country_South Korea,country_UK,country_USA,device_type_Mobile,device_type_PC,favorite_game_mode_Multiplayer,favorite_game_mode_Single-player
0,56,2,0.09009009009009009,0.6605504587155964,0.0,0.5170340681362725,0.6551724137931034,0.6683417085427136,0,0.5624999999999999,0.020066889632107024,1,0.3469387755102041,0.4228456913827655,0.976897689768977,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,46,1,0.4754754754754755,0.889908256880734,0.25,0.843687374749499,0.8275862068965517,0.3768844221105528,1,0.49999999999999994,0.9933110367892977,1,0.6938775510204082,0.1903807615230461,0.27902790279027906,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2,32,1,0.8888888888888888,0.29357798165137616,0.3214285714285714,0.5110220440881763,0.06896551724137931,0.5577889447236181,0,0.7916666666666666,0.8461538461538461,0,0.5102040816326531,0.2545090180360721,0.6697669766976698,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
3,25,0,0.7257257257257257,0.1926605504587156,0.6785714285714285,0.33466933867735466,0.13793103448275862,0.05025125628140704,1,0.04166666666666667,0.8060200668896321,1,0.12244897959183673,0.7354709418837675,0.08360836083608361,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
4,38,0,0.1871871871871872,0.7706422018348624,0.6071428571428571,0.9418837675350701,0.48275862068965514,0.9698492462311558,0,0.20833333333333331,0.6053511705685619,0,0.836734693877551,0.8517034068136272,0.7261726172617262,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
5,56,2,0.5685685685685685,0.9724770642201835,0.6785714285714285,0.9859719438877754,0.06896551724137931,0.47738693467336685,0,0.6041666666666666,0.8729096989966555,0,0.22448979591836732,0.533066132264529,0.7328732873287329,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
6,36,1,0.6186186186186187,0.12844036697247707,0.35714285714285715,0.23847695390781562,0.48275862068965514,0.8844221105527639,1,0.6666666666666666,0.2140468227424749,0,0.14285714285714285,0.1222444889779559,0.6928692869286929,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
7,40,0,0.953953953953954,0.5871559633027523,0.6071428571428571,0.03607214428857715,0.034482758620689655,0.09547738693467336,0,0.6874999999999999,0.0033444816053511705,0,0.24489795918367346,0.6973947895791582,0.05490549054905491,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
8,28,2,0.1941941941941942,0.6422018348623854,0.9285714285714285,0.5911823647294588,0.3793103448275862,0.10050251256281408,0,0.8333333333333333,0.22073578595317725,0,0.4693877551020408,0.877755511022044,0.06110611061106111,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
9,28,2,0.5335335335335335,0.2018348623853211,0.5357142857142857,0.6172344689378757,0.896551724137931,0.17587939698492464,0,0.04166666666666667,0.3411371237458194,0,0.6122448979591836,0.052104208416833664,0.643964396439644,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
10,41,2,0.6976976976976977,0.045871559633027525,0.14285714285714285,0.4929859719438877,0.13793103448275862,0.18592964824120603,0,0.08333333333333333,0.7525083612040133,1,0.061224489795918366,0.16833667334669336,0.6842684268426843,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11,53,0,0.8798798798798799,0.7614678899082569,0.2142857142857143,0.40881763527054105,0.27586206896551724,0.2763819095477387,0,0.6249999999999999,0.8996655518394648,1,0.26530612244897955,0.9739478957915831,0.9697969796979699,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
12,57,0,0.08408408408408408,0.5229357798165138,0.75,0.8396793587174348,0.7241379310344828,0.45226130653266333,0,0.0625,0.8294314381270903,0,0.7959183673469387,0.05611222444889779,0.4144414441444145,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
13,41,1,0.5915915915915916,0.22935779816513763,0.03571428571428571,0.13226452905811623,0.10344827586206896,0.05025125628140704,0,0.14583333333333331,0.26421404682274247,0,0.04081632653061224,0.24248496993987975,0.9401940194019403,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
14,20,1,0.8408408408408409,0.9633027522935781,0.35714285714285715,0.6833667334669338,0.7586206896551724,0.08542713567839195,0,0.3333333333333333,0.42474916387959866,0,0.7346938775510203,0.969939879759519,0.35983598359835983,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
15,39,2,0.07607607607607608,0.10091743119266056,0.42857142857142855,0.68937875751503,0.8620689655172413,0.4020100502512563,1,0.4375,0.6889632107023411,0,0.0,0.5751503006012023,0.5671567156715672,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
16,19,2,0.32932932932932935,0.6972477064220184,0.6785714285714285,0.8076152304609218,0.6896551724137931,0.48743718592964824,1,0.7708333333333333,0.13377926421404682,1,0.6122448979591836,0.3366733466933867,0.10581058105810581,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
17,41,0,0.38238238238238237,0.6972477064220184,0.8214285714285714,0.8236472945891783,0.9310344827586207,0.22110552763819097,1,0.4791666666666667,0.6655518394648829,1,0.5714285714285714,0.46492985971943884,0.6067606760676068,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
18,47,0,0.43243243243243246,0.009174311926605505,0.9642857142857143,0.3687374749498998,0.20689655172413793,0.7688442211055276,0,0.6249999999999999,0.8327759197324415,0,0.22448979591836732,0.7615230460921844,0.6212621262126213,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
19,55,1,0.3763763763763764,0.28440366972477066,0.5357142857142857,0.7735470941883766,0.5172413793103449,0.628140703517588,0,0.9999999999999999,0.431438127090301,0,0.08163265306122448,0.7915831663326652,0.48874887488748875,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
20,19,1,0.34034034034034033,0.4495412844036698,0.4642857142857143,0.6833667334669338,0.41379310344827586,0.2914572864321608,1,0.9999999999999999,0.41471571906354515,1,0.24489795918367346,0.6132264529058116,0.9003900390039005,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
